Job Title ,Company ,Location 
Data Analytics,Scaler,Bangalore
Data Analytics,Zdminds,Work from home
Machine Learning,Zdminds,Work from home
Business Analytics,Hamsi Marketing Private Limited,Hyderabad
Technical Project Manager,KasperTech,Bikaner
Robotics Software (ROS),ERIC Robotics PSIPL,Pimpri-Chinchwad
Innovation Project,STEMpedia,Ahmedabad
Data Science,Elevizo,Work from home
Python Development,TheDizi,Work from home
Backend Development,Okie Dokie Solutions LLP,Work from home
N/A,N/A,N/A
Python Developer,OST Placement Search Private Limited,Work from home
Game Analyst,Underpin Services,"Delhi, Noida"
Artificial Intelligence (AI),Tahoma Furnitech Private Limited,Pune
AI/ML Engineer – Recommendation Systems Expert,SeekHelpers,Work from home
Founders Office Manager,Grospi.com,Work from home
Drone Programming & Operations Associate,PracVerse Private Limited,"Faridabad, Delhi, Ghaziabad, Gurgaon, Pune, Bhopal, Mumbai, Noida, Bangalore"
Data Science,Boston Institute Of Analytics Global Education Private Limited,Mumbai
AI Tools & Vibe Coding,Tech Tool Wale,"Mangalore, Malappuram"
Information Technology,TMS Foundation (IndiaYouth.info),Work from home
Content Associate,Futred.com,"Greater Noida, Noida"
Full Stack Development,Fallon Studio,Work from home
Full Stack Development,CIAAN CYBER TECH PRIVATE LIMITED,Work from home
Machine Learning,CareerNest,Work from home
AI Workflow Engineer,Chronexa Intelligence Pvt. Ltd.,Work from home
Full Stack Development,Hairdrama.com,Ahmedabad
UI UX / IOS Testing,Across The Globe (ATG),Work from home
Founding AI Engineer,United Engineers,"Gurgaon, Noida, Delhi"
Jr Software Testing,BXP Support And Solutions Private Limited,Bangalore
Artificial Intelligence (AI),CareerNest,Work from home
QA Testing,BLG Technologies,Work from home
Python Development,Warewe Consultancy Private Limited,Gurgaon
WordPress Development,Fantasy Flora Events Private Limited,Hyderabad
Software Development,SubSpace,Bangalore
AI Engineer,Resolute AI Software Private Limited,Work from home
Artificial Intelligence (AI),RevenUmf,Work from home
Full Stack Development,Hydizo Global Solutions PVT LTD,"Bhilai, Chennai, Pune, Srikakulam, Hyderabad, Bangalore, Gujarat, Tamil Nadu"
Full Stack Development,Fission Infotech,Hyderabad
Video Editing/Making,Workik,Work from home
Full Stack Developer,Workik,Work from home
AWS DevOps Engineer,BXP Support And Solutions Private Limited,Bangalore
